iter	Passed	Remaining
0	10	5390
1	20	5082
2	27	4533
3	37	4709
4	46	4559
5	54	4515
6	75	5336
7	84	5222
8	91	5009
9	101	4969
10	108	4801
11	119	4858
12	129	4840
13	137	4788
14	151	4896
15	163	4939
16	180	5126
17	191	5123
18	201	5099
19	209	5037
20	218	4989
21	231	5025
22	240	4983
23	251	4982
24	263	5003
25	272	4971
26	279	4899
27	289	4880
28	296	4815
29	307	4816
30	318	4821
31	334	4896
32	342	4851
33	350	4803
34	357	4748
35	364	4700
36	371	4649
37	378	4599
38	386	4570
39	393	4525
40	401	4494
41	410	4479
42	418	4452
43	427	4430
44	435	4406
45	445	4398
46	452	4365
47	462	4355
48	468	4314
49	478	4304
50	485	4272
51	493	4255
52	503	4247
53	513	4239
54	519	4206
55	527	4185
56	534	4152
57	542	4132
58	548	4099
59	556	4083
60	564	4060
61	573	4054
62	581	4032
63	590	4025
64	598	4005
65	607	3997
66	618	3996
67	625	3973
68	635	3967
69	644	3962
70	653	3950
71	661	3931
72	671	3926
73	681	3925
74	690	3911
75	698	3895
76	705	3875
77	716	3875
78	731	3896
79	737	3873
80	747	3865
81	753	3843
82	763	3834
83	770	3816
84	778	3802
85	785	3783
86	793	3768
87	802	3756
88	811	3745
89	819	3734
90	829	3729
91	840	3728
92	849	3716
93	858	3709
94	865	3690
95	874	3682
96	881	3661
97	890	3650
98	896	3630
99	904	3616
100	910	3598
101	918	3584
102	925	3565
103	933	3552
104	939	3534
105	946	3517
106	953	3502
107	960	3485
108	967	3470
109	974	3454
110	982	3441
111	989	3428
112	996	3413
113	1003	3397
114	1009	3380
115	1017	3367
116	1023	3351
117	1033	3346
118	1043	3341
119	1049	3323
120	1057	3312
121	1064	3297
122	1071	3284
123	1079	3274
124	1086	3260
125	1094	3247
126	1101	3236
127	1109	3224
128	1117	3214
129	1126	3206
130	1134	3194
131	1142	3185
132	1148	3168
133	1154	3154
134	1160	3138
135	1166	3122
136	1172	3106
137	1178	3092
138	1187	3082
139	1193	3068
140	1200	3057
141	1206	3042
142	1214	3031
143	1220	3016
144	1226	3003
145	1234	2992
146	1244	2987
147	1252	2980
148	1259	2967
149	1266	2954
150	1272	2941
151	1281	2932
152	1298	2944
153	1304	2931
154	1310	2917
155	1316	2903
156	1325	2895
157	1333	2887
158	1343	2882
159	1351	2871
160	1363	2871
161	1371	2862
162	1379	2852
163	1388	2844
164	1396	2835
165	1403	2824
166	1415	2822
167	1423	2813
168	1433	2807
169	1445	2805
170	1455	2801
171	1463	2790
172	1472	2783
173	1479	2771
174	1488	2764
175	1495	2752
176	1503	2743
177	1510	2731
178	1520	2725
179	1533	2726
180	1541	2716
181	1549	2707
182	1555	2694
183	1562	2682
184	1568	2671
185	1575	2659
186	1582	2648
187	1588	2636
188	1595	2625
189	1601	2613
190	1608	2602
191	1616	2593
192	1624	2584
193	1632	2574
194	1639	2564
195	1647	2555
196	1654	2544
197	1660	2533
198	1667	2521
199	1673	2510
200	1679	2498
201	1686	2487
202	1692	2476
203	1698	2465
204	1705	2453
205	1710	2441
206	1717	2430
207	1723	2419
208	1729	2408
209	1735	2397
210	1742	2386
211	1747	2374
212	1754	2364
213	1760	2353
214	1768	2343
215	1773	2332
216	1780	2322
217	1786	2311
218	1792	2300
219	1799	2289
220	1804	2278
221	1811	2268
222	1818	2258
223	1825	2249
224	1832	2239
225	1839	2230
226	1847	2221
227	1854	2212
228	1861	2202
229	1868	2193
230	1874	2183
231	1881	2172
232	1887	2162
233	1894	2153
234	1900	2142
235	1906	2132
236	1913	2122
237	1919	2113
238	1927	2105
239	1935	2097
240	1942	2087
241	1948	2077
242	1955	2067
243	1961	2058
244	1968	2048
245	1974	2038
246	1981	2029
247	1988	2020
248	1994	2010
249	2001	2001
250	2008	1992
251	2014	1982
252	2020	1972
253	2027	1963
254	2034	1954
255	2040	1944
256	2047	1935
257	2053	1926
258	2060	1917
259	2069	1910
260	2078	1903
261	2084	1894
262	2092	1885
263	2099	1876
264	2107	1869
265	2114	1859
266	2121	1851
267	2128	1842
268	2135	1833
269	2142	1825
270	2150	1816
271	2158	1809
272	2164	1799
273	2171	1790
274	2177	1781
275	2185	1773
276	2192	1764
277	2198	1755
278	2206	1748
279	2215	1740
280	2222	1731
281	2228	1723
282	2236	1715
283	2243	1706
284	2251	1698
285	2257	1688
286	2264	1680
287	2270	1671
288	2276	1661
289	2282	1652
290	2288	1643
291	2295	1635
292	2302	1626
293	2310	1619
294	2319	1611
295	2326	1603
296	2333	1595
297	2341	1587
298	2348	1578
299	2355	1570
300	2362	1561
301	2370	1554
302	2376	1545
303	2383	1536
304	2391	1528
305	2398	1520
306	2405	1512
307	2411	1503
308	2419	1495
309	2428	1488
310	2435	1480
311	2442	1471
312	2449	1463
313	2455	1454
314	2462	1446
315	2470	1438
316	2477	1430
317	2484	1421
318	2490	1413
319	2498	1405
320	2505	1396
321	2512	1388
322	2519	1380
323	2526	1372
324	2533	1364
325	2540	1355
326	2548	1348
327	2554	1339
328	2561	1331
329	2568	1323
330	2574	1314
331	2581	1306
332	2588	1297
333	2595	1289
334	2600	1281
335	2607	1272
336	2616	1265
337	2624	1258
338	2633	1250
339	2642	1243
340	2649	1235
341	2658	1228
342	2666	1220
343	2674	1212
344	2682	1204
345	2688	1196
346	2696	1188
347	2709	1183
348	2717	1175
349	2725	1167
350	2732	1159
351	2739	1151
352	2747	1144
353	2754	1136
354	2760	1127
355	2769	1120
356	2775	1111
357	2783	1104
358	2790	1096
359	2801	1089
360	2810	1082
361	2818	1074
362	2826	1066
363	2833	1058
364	2840	1050
365	2847	1042
366	2853	1034
367	2861	1026
368	2867	1018
369	2874	1009
370	2881	1002
371	2887	993
372	2893	985
373	2900	977
374	2907	969
375	2914	961
376	2923	953
377	2929	945
378	2936	937
379	2943	929
380	2949	921
381	2955	913
382	2961	904
383	2972	898
384	2982	890
385	2990	883
386	3001	876
387	3016	870
388	3024	862
389	3031	854
390	3037	846
391	3043	838
392	3049	830
393	3055	822
394	3061	813
395	3069	806
396	3075	798
397	3082	789
398	3092	782
399	3099	774
400	3106	766
401	3113	758
402	3121	751
403	3128	743
404	3134	735
405	3141	727
406	3147	719
407	3153	711
408	3159	702
409	3166	695
410	3172	686
411	3178	678
412	3185	671
413	3192	663
414	3198	655
415	3205	647
416	3214	639
417	3220	631
418	3227	624
419	3236	616
420	3243	608
421	3249	600
422	3256	592
423	3262	584
424	3271	577
425	3277	569
426	3284	561
427	3290	553
428	3298	545
429	3304	537
430	3310	530
431	3316	522
432	3322	514
433	3328	506
434	3334	498
435	3339	490
436	3345	482
437	3353	474
438	3359	466
439	3365	458
440	3371	451
441	3376	443
442	3384	435
443	3390	427
444	3397	419
445	3403	412
446	3409	404
447	3415	396
448	3422	388
449	3428	380
450	3433	373
451	3439	365
452	3446	357
453	3452	349
454	3458	342
455	3463	334
456	3468	326
457	3473	318
458	3480	310
459	3487	303
460	3493	295
461	3499	287
462	3504	280
463	3510	272
464	3515	264
465	3521	256
466	3526	249
467	3531	241
468	3538	233
469	3543	226
470	3549	218
471	3555	210
472	3562	203
473	3568	195
474	3574	188
475	3581	180
476	3587	172
477	3595	165
478	3600	157
479	3607	150
480	3613	142
481	3619	135
482	3625	127
483	3633	120
484	3639	112
485	3647	105
486	3653	97
487	3660	90
488	3667	82
489	3673	74
490	3681	67
491	3687	59
492	3694	52
493	3700	44
494	3707	37
495	3713	29
496	3720	22
497	3726	14
498	3733	7
499	3740	0
